uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
28,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-II&#150; Receptor Antagonists," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. Can cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure.",Irbesartan,<5,13/No change,90,0.72,,,,150-300 mg q24h,,,150-300 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: No dose adjustment,[A]","PD: No dose adjustment,[D]","CRRT: Dose for GFR 10-50, titrate, [D]","Sica DA, Marino MR, Hammett JL, Ferreira I, Gehr TW, Ford NF. The pharmacokinetics of irbesartan in renal failure and maintenance hemodialysis. Clin Pharmacol Ther. 1997; 62: 610-8. [PMID: 9433389]",Watch for changes in renal function and hyperkalemia.
29,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-II&#150; Receptor Antagonists," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. Can cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure.",Losartan,4-10,2.5-5.4/4-6,98,0.45,,,,25-100 mg q24h,,,25-100 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [A]","CRRT: Dose for GFR 10-50, titrate, [D]","Goa KL, Wagstaff AJ. Losartan potassium: a review of its pharmacology, clinical efficacy and tolerability in the management of hypertension. Drugs. 1996; 51: 820-45. [PMID: 8861549] / Pedro AA, Gehr TW, Brophy DF, Sica DA. The pharmacokinetics and pharmacodynamics of losartan in continuous ambulatory peritoneal dialysis. J Clin Pharmacol. 2000; 40: 389-95. [PMID: 10761166] / Sica DA, Lo MW, Shaw WC, et al. The pharmacokinetics of losartan in renal insufficiency. J Hypertens. 1995; 13: S49-S52. [PMID unavailable] / Toto R, Shultz P, Raij L, Mitchell H, Shaw W, Ramjit D, et al. Efficacy and tolerability of losartan in hypertensive patients with renal impairment. Collaborative Group. Hypertension. 1998; 31: 684-91. [PMID: 9461241]",
30,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-II&#150; Receptor Antagonists," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. Can cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure.",Olmesartan ,50,13/36,99,0.24,,,,20 mg q24h, Second Dose: 20-40 mg q24h,D,20 mg q24h,100% [A],100% [A],100% [A],50% [A],"IHD: None, [D]","PD: Dose for GFR <10, [D]","CRRT: Dose for GFR 10-50,titrate, [D]","Laeis P, P&#252; chler K, Kirch W. The pharmacokinetic and metabolic profile of olmesartan medoxomil limits the risk of clinically relevant drug interaction. J Hypertens Suppl. 2001; 19: S21-32. [PMID: 11451211] / von Bergmann K, Laeis P, P&#252; chler K, Sudhop T, Schwocho LR, Gonzalez L. Olmesartan medoxomil: influence of age, renal and hepatic function on the pharmacokinetics of olmesartan medoxomil. J Hypertens Suppl. 2001; 19: S33-40. [PMID: 11451213]",
31,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-II&#150; Receptor Antagonists," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. Can cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure.",Telmisartan,<5,24/16,99,7.1,,,,20-80 mg q24h,,,20-80 mg q24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [D]","CRRT: Dose for GFR 10-50, titrate, [D]","Stangier J, Su CA, Brickl R, Franke H. Pharmacokinetics of single-dose telmisartan 120 mg given during and between hemodialysis in subjects with severe renal insufficiency: comparison with healthy volunteers. J Clin Pharmacol. 2000; 40: 1365-72. [PMID: 11185635] / Stangier J, Su CA, Roth W. Pharmacokinetics of orally and intravenously administered telmisartan in healthy young and elderly volunteers and in hypertensive patients. J Int Med Res. 2000; 28: 149-67. [PMID: 11014323]",
32,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-II&#150; Receptor Antagonists," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. Can cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure.",Valsartan,13,9.4/No data,95,0.23,,,,80-320 mg q24h,,,80-320 mg q24h,100% [B],100% [B],100% [B],100% [D],"IHD: None, [A] ","PD: None, [D]","CRRT: Dose for GFR 10-50, titrate, [D]","Israili ZH. Clinical pharmacokinetics of angiotensin II (AT1) receptor blockers in hypertension. J Hum Hypertens. 2000; 14 Suppl 1: S73-86. [PMID: 10854085] / M&#252; ller P, Flesch G, de Gasparo M, Gasparini M, Howald H. Pharmacokinetics and pharmacodynamic effects of the angiotensin II antagonist valsartan at steady state in healthy, normotensive subjects. Eur J Clin Pharmacol. 1997; 52: 441-9. [PMID: 9342579] / Sioufi A, Marfil F, Jaouen A, Cardot JM, Godbillon J, Ezzet F, et al. The effect of age on the pharmacokinetics of valsartan. Biopharm Drug Dispos. 1998; 19: 237-44. [PMID: 9604123] / Tepel M, van der Giet M, Zidek W. Efficacy and tolerability of angiotensin II type 1 receptor antagonists in dialysis patients using AN69 dialysis membranes. Kidney Blood Press Res. 2001; 24: 71-4. [PMID: 11174010]",
33,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Benazepril,54,10-11/30,96,0.15,,,,10 mg q24h ,Second Dose: 10-40 mg q12-24h,D,10 mg q24h ,100% [A],50-75% [A],50-75% [A],25-50% [D],"IHD: None, [D]","PD: None, [D]","CRRT: Dose for GFR 10-50,titrate, [D]","Balfour JA, Goa KL. Benazepril. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in hypertension and congestive heart failure. Drugs. 1991; 42: 511-39. [PMID: 1720384] / Shionoiri H, Ueda S, Minamisawa K, Minamisawa M, Takasaki I, Sugimoto K, et al. Pharmacokinetics and pharmacodynamics of benazepril in hypertensive patients with normal and impaired renal function. J Cardiovasc Pharmacol. 1992; 20: 348-57. [PMID: 1279278]",
34,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Captopril,40-50,2-3/21-32,25-30,0.7-3,,,,25-50 mg q8h ,Second Dose: 50-150 mg q8h-q12h,"D, I",25-50 mg q8h ,100% q8-12h [A],75% q12-18h [A],75% q12-18h [A],50% q24h [A],"IHD: Dose after dialysis, [A]","PD: Dose for GFR 10-50,[A]","CRRT: Dose for GFR 10-50, titrate, [D]","Brogden RN, Todd PA, Sorkin EM. Captopril. An update of its pharmacodynamic and pharmacokinetic properties, and therapeutic use in hypertension and congestive heart failure. Drugs. 1988; 36: 540-600. [PMID: 3063499] / Drummer OH, Workman BS, Miach PJ, Jarrott B, Louis WJ. The pharmacokinetics of captopril and captopril disulfide conjugates in uraemic patients on maintenance dialysis: comparison with patients with normal renal function. Eur J Clin Pharmacol. 1987; 32: 267-71. [PMID: 3297733] / Duchin KL, Pierides AM, Heald A, Singhvi SM, Rommel AJ. Elimination kinetics of captopril in patients with renal failure. Kidney Int. 1984; 25: 942-7. [PMID: 6381858] / Fujimura A, Kajiyama H, Ebihara A, Iwashita K, Nomura Y, Kawahara Y. Phar-macokinetics and pharmacodynamics of captopril in patients undergoing continuous ambulatory peritoneal dialysis. Nephron. 1986; 44: 324-8. [PMID: 3025754]","Rare proteinuria, nephrotic syndrome, dysgeusia, granulocytopenia. Increases serum digoxin levels. Anaphylactoid reactions have been reported in patients dialyzed with high-flux membranes and treated concomitantly with an ACE inhibitor."
35,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Cilazapril,80-90,40-50/>60,No data,0.5-0.8,,,,1.25 mg q24h,,"D, I",1.25 mg q24h,75% q24h [A],50% q24-48h [A],50% q24-48h [A],10-25% q72h [A],IHD: None ,PD: None,"CRRT: Dose for GFR 10-50,titrate, [D]","Deget F, Brogden RN. Cilazapril. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic potential in cardiovascular disease. Drugs. 1991; 41: 799-820. [PMID: 1712710] / Kloke HJ, Ambros RJ, Van Hamersvelt HW, Wetzels JF, Koene RA, Huysmans FT. Pharmacokinetics and haemodynamic effects of the angiotensin converting enzyme inhibitor cilazapril in hypertensive patients with normal and impaired renal function. Br J Clin Pharmacol. 1996; 42: 615-20. [PMID: 8951193]",Cilazaprilat is active moiety formed in liver.
36,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Enalapril,88,11-24/34-60,50-60,1-2.4,,,,5-20 mg q12-24h,,D,5-20 mg q12-24h,100% [A],50-100% [A],50-100% [A],25% [A],"IHD: Dose after dialysis, [A]","PD: Dose for GFR <10,[D]","CRRT: Dose for GFR 10-50,titrate, [D]","Kelly JG, Doyle GD, Carmody M, Glover DR, Cooper WD. Pharmacokinetics of lisinopril, enalapril and enalaprilat in renal failure: effects of haemodialysis. Br J Clin Pharmacol. 1988; 26: 781-6. [PMID: 2853960] / Mujais SK, Quintanilla A, Zahid M, Koch K, Shaw W, Gibson T. Renal handling of enalaprilat. Am J Kidney Dis. 1992; 19: 121-5. [PMID: 1310827] / Todd PA, Goa KL. Enalapril. A reappraisal of its pharmacology and therapeutic use in hypertension. Drugs. 1992; 43: 346-81. [PMID: 1374319]",Enalaprilat is active moiety formed in liver.
37,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Enalaprilat,88,11/28,50-60,1-2.4,,,,1.25-5 mg IV over 5 min q6h,,D,1.25-5 mg IV over 5 min q6h,100% [A],50-100% [A],50-100% [A],25-50% [D],"IHD: Dose after dialysis, [A]","PD: Dose for GFR <10,[D]","CRRT: Dose for GFR 10-50,[D]","Hersh AD, Kelly JG, Laher MS, Carmody M, Doyle GD. Effect of hydrochlorothiazide on the pharmacokinetics of enalapril in hypertensive patients with varying renal function. J Cardiovasc Pharmacol. 1996; 27: 7-11. [PMID: 8656661] / Kelly JG, Doyle GD, Carmody M, Glover DR, Cooper WD. Pharmacokinetics of lisinopril, enalapril and enalaprilat in renal failure: effects of haemodialysis. Br J Clin Pharmacol. 1988; 26: 781-6. [PMID: 2853960]",Dialysis patients are at risk of excessive hypotension. Treatment should be started under very close supervision. The starting dose should be no greater than 0.625 mg administered intravenously over a period of up to one hour.
38,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Fosinopril,50,12/14-32,99,0.15,,,,10 mg q24h ,Second Dose: 10-40 mg q12-24h,D,10 mg q24h ,100% [A],100% [A],100% [A],75-100% [B],"IHD: None, [A] ","PD: None, [A]","CRRT: Dose for GFR 10-50, titrate, [D]","Gehr TW, Sica DA, Grasela DM, Fakhry I, Davis J, Duchin KL. Fosinopril pharmacokinetics and pharmacodynamics in chronic ambulatory peritoneal dialysis patients. Eur J Clin Pharmacol. 1991; 41: 165-9. [PMID: 1835932] / Gehr TW, Sica DA, Grasela DM, Duchin KL. The pharmacokinetics and pharmacodynamics of fosinopril in haemodialysis patients. Eur J Clin Pharmacol. 1993; 45: 431-6. [PMID: 8112372] / Greenbaum R, Zucchelli P, Caspi A, Nouriel H, Paz R, Sclarovsky S, et al. Comparison of the pharmacokinetics of fosinoprilat with enalaprilat and lisinopril in patients with congestive heart failure and chronic renal insufficiency. Br J Clin Pharmacol. 2000; 49: 23-31. [PMID: 10606834] / O&#146; Grady P, Yee KF, Lins R, Mangold B. Fosinopril/hydrochlorothiazide: single dose and steady-state pharmacokinetics and pharmacodynamics. Br J Clin Pharmacol. 1999; 48: 375-81. [PMID: 10510149] / Wagstaff AJ, Davis R, McTavish D. Fosinopril: a reappraisal of its pharmacology and therapeutic efficacy in essential hypertension. Drugs. 1996; 51: 777-91. [PMID: 8861547]",Fosinoprilat is its active moiety formed in liver. Drug less likely than other ACE inhibitors to accumulate in renal failure.
39,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Lisinopril,88-100,30/40-50,0,1-3.8,,,,5-10 mg q24h,Second Dose: 20-40 mg q24h,D,5-10 mg q24h,100% [A],50-75% [A],50-75% [A],25-50% [A],"IHD: Dose after dialysis, [A]","PD: None, [D]","CRRT: Dose for GFR 10-50, titrate, [D]","Greenbaum R, Zucchelli P, Caspi A, Nouriel H, Paz R, Sclarovsky S, et al. Comparison of the pharmacokinetics of fosinoprilat with enalaprilat and lisinopril in patients with congestive heart failure and chronic renal insufficiency. Br J Clin Pharmacol. 2000; 49: 23-31. [PMID: 10606834] / Hoyer J, Schulte KL, Lenz T. Clinical pharmacokinetics of angiotensin converting enzyme (ACE) inhibitors in renal failure. Clin Pharmacokinet. 1993; 24: 230-54. [PMID: 8462229] / Lancaster SG, Todd PA. Lisinopril. A preliminary review of its pharmacodynamic and pharmacokinetic properties, and therapeutic use in hypertension and congestive heart failure. Drugs. 1988; 35: 646-69. [PMID: 2844497] / Neubeck M, Fliser D, Pritsch M, Weisser K, Fliser M, Nussberger J, et al. Pharmaco-kinetics and pharmacodynamics of lisinopril in advanced renal failure. Consequence of dose adjustment. Eur J Clin Pharmacol. 1994; 46: 537-43. [PMID: 7995322] / Sica DA, Cutler RE, Parmer RJ, Ford NF. Comparison of the steady-state pharmacokinetics of fosinopril, lisinopril and enalapril in patients with chronic renal insufficiency. Clin Pharmacokinet. 1991; 20: 420-7. [PMID: 1652404]",
40,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Moexipril ,66,9.8/30-40,50,2.6,,,,7.5 mg q24h ,Second Dose: 7.5-30 mg q24h,D,7.5 mg q24h ,100% [A],50% [B],50% [B],50% [B],"IHD: Dose after dialysis,[D]","PD: Dose for GFR <10,[D]","CRRT: Dose for GFR 10-50,[D]","Cawello W, Boekens H, Waitzinger J, Miller U. Moexipril shows a long duration of action related to an extended pharmacokinetic half-life and prolonged ACE inhibition. Int J Clin Pharmacol Ther. 2002; 40: 9-17. [PMID: 11837383] / Song JC, White CM. Clinical pharmacokinetics and selective pharmacodynamics of new angiotensin converting enzyme inhibitors: an update. Clin Pharmacokinet. 2002; 41: 207-24. [PMID: 11929321]","There is insufficient information available to characterize the relationship between moexipril and renal function, but at creatinine clearances in the range of 10 to 40 mL/min, the T1/2 of moexipril increased by a factor of 3 to 4. No data on extracorporeal removal. Avoid in renal failure until more information available."
41,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Pentopril,80-90,2-3/10-14,60,0.8,,,,125 mg q24h,,D,125 mg q24h,100% [A],50-75% [A],50-75% [A],50% [A],IHD: No data,PD: No dat,"CRRT: Dose for GFR 10-50, titrate, [D]","Rakhit A, Radensky P, Szerlip HM, Kochak GM, Audet PR, Hurley ME, et al. Effect of renal impairment on disposition of pentopril and its active metabolite. Clin Pharmacol Ther. 1988; 44: 39-48. [PMID: 3391004]",
42,Antihypertensive and Cardiovascular Agents,Antihypertensive Drugs,Angiotensin-Converting Enzyme (ACE) Inhibitors," Blood pressure is the best guide to dose and interval. Hypotensive effects magnified by natriuretic agents or sodium depletion. May cause hyperkalemia, metabolic acidosis. Acute renal dysfunction with bilateral or transplant renal artery stenosis, low renal perfusion pressure. Dry cough in 5-10% of patients.",Perindopril,90 (peridoprilat),2.9 (10.9 perindoprilat)/27,20,0.16-0.22,,,,2 mg q24h,Second Dose: 2-8 mg q24h,"D, I",2 mg q24h,2 mg q24h [A],2 mg q24-48h[A],2 mg q24-48h[A],2 mg q48h [A],"IHD: Dose for GFR <10,[B]","PD: Dose for GFR <10, [D]","CRRT: Dose for GFR 10-50, titrate, [D]","Devissaguet JP, Ammoury N, Devissaguet M, Perret L. Pharmacokinetics of perindopril and its metabolites in healthy volunteers. Fundam Clin Pharmacol. 1990; 4: 175-89. [PMID: 2351367] / Gu&#233; rin A, Resplandy G, Marchais S, Taillard F, London G. The effect of haemodialysis on the pharmacokinetics of perindoprilat after long-term perindopril. Eur J Clin Pharmacol. 1993; 44: 183-7. [PMID: 8453964] / Hurst M, Jarvis B. Perindopril: an updated review of its use in hypertension. Drugs. 2001; 61: 867-96. [PMID: 11398915] / Sennesael J, Ali A, Sweny P, Vandenburg M, Slovic D, Dratwa M, et al. The pharmacokinetics of perindopril and its effects on serum angiotensin converting enzyme activity in hypertensive patients with chronic renal failure. Br J Clin Pharmacol. 1992; 33: 93-9. [PMID: 1311597]","Active metabolite is perindoprilat. The clearance of perindoprilat and its metabolites is almost exclusively renal. Approximately 60% of circulating perindopril is bound to plasma proteins, but only 10 to 20% of perindoprilat is bound."
